maj813.MGU	J_HERBIE	b
maj813.MGU	C_Jessy	b
maj813.MGU	HIPHOP5	b
maj813.MGU	L_BATUCD	a
maj813.MGU	OCTETTE	b
maj740.MGU	JAZZ~QT	a
maj740.MGU	DANCE_2	b
maj740.MGU	BoogyRk2	b
maj740.MGU	SkyBlue	a
maj740.MGU	LeClik	a
maj514.MGU	EASTRNRK	a
maj514.MGU	NR_TOBY+	a
maj514.MGU	JzClypso	a
maj514.MGU	TekBohn	a
maj514.MGU	EGYPTPOP	b
min194.MGU	C_CONWAY	a
min194.MGU	RUFUS	a
min194.MGU	RegaeSka	b
min194.MGU	AG_FLYIN	b
min194.MGU	RB_STEV	a
maj268.MGU	COOL	b
maj268.MGU	RIPITUP	b
maj268.MGU	Favorabl	b
maj268.MGU	LARRY	b
maj268.MGU	CR_ALLAY	b
maj736.MGU	RB_QUEEN	a
maj736.MGU	BIG_BEAT	b
maj736.MGU	HHop_Med	b
maj736.MGU	C_JESICA	b
maj736.MGU	J_WYNT_G	b
min004.MGU	OtisPop1	a
min004.MGU	Blz128	b
min004.MGU	L_SONCHA	a
min004.MGU	HRPORK44	a
min004.MGU	OTISS	b
maj724.MGU	NR_CURR+	b
maj724.MGU	R_HEVMET	b
maj724.MGU	c_rocky	a
maj724.MGU	Polka6	a
maj724.MGU	SoftRok	a
maj875.MGU	NEWAGE_1	b
maj875.MGU	BombFst	b
maj875.MGU	Country1	a
maj875.MGU	BurtBac1	b
maj875.MGU	C_SWEET	a
maj242.MGU	BREEZIN	a
maj242.MGU	PW_SIX	a
maj242.MGU	Session	a
maj242.MGU	STEELES	a
maj242.MGU	C_SHUFLN	b
min167.MGU	OLDMOTWN	a
min167.MGU	NylGit44	b
min167.MGU	J_L_MAYS	b
min167.MGU	SanMarta	b
min167.MGU	C_PHIL	a
min198.MGU	MozCuba	a
min198.MGU	SOSASS	b
min198.MGU	UKGROOVE	a
min198.MGU	L_GUARCH	a
min198.MGU	j!~nat2	a
maj487.MGU	CRIMSONS	a
maj487.MGU	BAGWELL	b
maj487.MGU	C_LDANCE	a
maj487.MGU	BrWires+	b
maj487.MGU	HOUSE_1	a
maj483.MGU	TAKFAR	a
maj483.MGU	AG_ARETH	a
maj483.MGU	MARLEY1	b
maj483.MGU	Visions2	b
maj483.MGU	You97	a
min094.MGU	PlenaMed	a
min094.MGU	TekRegae	b
min094.MGU	R_JB_70S	b
min094.MGU	Sunarise	b
min094.MGU	WOODSTK1	a
maj387.MGU	WR_Fast	b
maj387.MGU	FUNKSEV2	a
maj387.MGU	SHOWFAST	a
maj387.MGU	Marimba	a
maj387.MGU	BRIT60SW	b
maj570.MGU	FOLKYJAZ	a
maj570.MGU	PasoDob2	a
maj570.MGU	CongFok	b
maj570.MGU	Byrdlyke	b
maj570.MGU	j!~sky2	b
min134.MGU	SKA_1	a
min134.MGU	JAZZBAL2	b
min134.MGU	Mongo1	a
min134.MGU	MOZART	b
min134.MGU	Z4COUN12	b
maj316.MGU	P_DIDO1	a
maj316.MGU	City1	a
maj316.MGU	Jaz_60	a
maj316.MGU	RB_TOPS	a
maj316.MGU	L_Bos_ez	b
min164.MGU	SHWFST3!	b
min164.MGU	Psyk2	a
min164.MGU	PW_REBE	a
min164.MGU	JugBand	b
min164.MGU	JOPLIN	b
min193.MGU	CHINA~1	a
min193.MGU	C_LONE	a
min193.MGU	Jz8_290	a
min193.MGU	ChaGuiro	a
min193.MGU	Fields	b
min161.MGU	B_GEES2	a
min161.MGU	Psyk1	a
min161.MGU	C~LEFTY	a
min161.MGU	Temptns2	a
min161.MGU	Instinct	a
maj010.MGU	C_BWILLS	a
maj010.MGU	ZZBLUSHF	b
maj010.MGU	CC_CELIN	a
maj010.MGU	FOLK12_8	a
maj010.MGU	C_GIRL	a
maj281.MGU	JAMMIN	a
maj281.MGU	SEASIDE	a
